name	types	source	description	prerequisites	benefit	normal	special	mythic	combat_trick	url
Cooperative Rend	Combat, Teamwork	Monster Codex pg. 224	You and an ally each sink a claw into your foe—then all you have to do is pull.	Rend, troll.	Whenever you and an ally who has this feat are both threatening the same creature, you must hit the target with at least one of your claw attacks to use your rend ability.	You must hit with two of your claw attacks to use your rend ability.				https://aonprd.com/FeatDisplay.aspx?ItemName=Cooperative%20Rend
Cooperative Swarmer	Combat	Blood of the Beast pg. 22	You’re a team player and help out those normally too large or clumsy to fight in close quarters with you.	Swarming racial trait.	You can share a square with an ally your size or larger, even if your ally does not have the swarming racial trait. Neither you nor the creature you share a space with count as flanking your targets, but you gain a +2 shield bonus to AC while sharing a square with a larger ally. If you perform an aid another action to aid your ally’s attack roll or AC, increase the bonus you provide by 1.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cooperative%20Swarmer
Coordinated Capture	Combat, Teamwork	Villain Codex pg. 44	You work with allies to prevent foes from escaping.	Base attack bonus +1.	Whenever you and one or more allies with this feat threaten the same enemy, the enemy takes a penalty on Acrobatics checks and concentration checks to avoid provoking attacks of opportunity equal to the number of creatures with this feat that are threatening him (maximum +5).					https://aonprd.com/FeatDisplay.aspx?ItemName=Coordinated%20Capture
Coordinated Distraction	Combat, Teamwork	Demon Hunter's Handbook pg. 21	When working in tandem, you can make it difficult for foes to use their magical abilities.		When you and at least one ally with this feat threaten the same enemy, the enemy treats the DC to cast spells defensively as 2 higher for each threatening character with this feat. If you or your allies are incapable of taking an attack of opportunity against the target for any reason, the effects of this feat do not apply.					https://aonprd.com/FeatDisplay.aspx?ItemName=Coordinated%20Distraction
Cornugon Shield	Combat	Cheliax, Empire of Devils pg. 26	You can use your spiked chain as both armor and weapon.	Dex 15, Weapon Focus (spiked chain).	When wielding a spiked chain, you gain a +1 shield bonus to your AC. When you are fighting defensively or using the total defense action, this shield bonus increases to +2.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cornugon%20Shield
Cornugon Smash	Combat	Cheliax, Empire of Devils pg. 26	Your terrible attacks strike fear into your enemies.	Power Attack, Intimidate 6 ranks.	When you damage an opponent with a Power Attack, you may make an immediate Intimidate check as a free action to attempt to demoralize your opponent.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cornugon%20Smash
Cornugon Stun	Combat	Cheliax, Empire of Devils pg. 26	You are able to make stunning attacks with special monk weapons.	Stunning Fist.	You may use Stunning Fist when making melee attacks with special monk weapons as well as when making unarmed attacks.	You can only use Stunning Fist when making an attack with an unarmed strike.				https://aonprd.com/FeatDisplay.aspx?ItemName=Cornugon%20Stun
Cornugon Trip	Combat	Cheliax, Empire of Devils pg. 26	You can throw your spiked chain to make trip attacks.	Dex 15, Improved Trip, Weapon Focus (spiked chain).	You may throw your spiked chain (as if it were a thrown weapon with a range increment of 10 feet) and can make trip attacks when throwing it. Failing at this attack does not knock you prone.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cornugon%20Trip
Covering Fire (RTT)	Combat, Teamwork	Ranged Tactics Toolbox pg. 10	You distract your enemies with ranged attacks to protect your allies.	Point-Blank Shot.	You can use the aid another action with a ranged attack against an opponent, regardless of whether the opponent threatens an ally. Range penalties apply to this attack roll. Choose one ally when making the attack. If the attack is successful, that ally gains a +2 bonus to AC against that opponent’s next attack, as long as the attack comes before the beginning of your next turn. All allies with this feat also gain this bonus against that opponent.					https://aonprd.com/FeatDisplay.aspx?ItemName=Covering%20Fire%20(RTT)
Covering Fire (VC)	Combat, Teamwork	Villain Codex pg. 56	Your shot can put an enemy off guard, giving your teammates the opportunity to act.	Exotic Weapon Proficiency (firearms)UC, Weapon Focus (at least one firearm).	When you hit a foe with a firearm for which you have Weapon Focus, that creature takes a –2 penalty on attack rolls for 1 round against any other ally that also has this feat; this changes to a –4 penalty on attacks of opportunity. The penalty applied by this feat does not stack with itself. However, if both you and an ally with this feat attack the same foe, you can cover each other (since a penalty you impose with this feat doesn’t apply to attacks against you).					https://aonprd.com/FeatDisplay.aspx?ItemName=Covering%20Fire%20(VC)
Cracking the Shell	Combat, Combination	Martial Arts Handbook pg. 27	The tip of your weapon pierces both the body and the spirit.	Weapon Focus with piercing weapon.	When you deal damage with a melee attack with a piercing weapon to an opponent you have already damaged this round, you can also reduce the value of that target’s spell resistance or energy resistances by 1 until the start of your next turn. This reduction stacks with itself.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cracking%20the%20Shell
Crashing Wave Buffet	Combat	Ultimate Wilderness pg. 108	You disorient your opponents by pushing and pounding them mercilessly, just like how the sea beats relentlessly against the rocks.	Wis 15, Crashing Wave Style, Improved Drag, Improved Reposition, Improved Unarmed Strike, base attack bonus +6.	When dragging or repositioning an opponent, you use your full body to knock your opponent around like a constant wave. At the end of the drag or reposition maneuver, your opponent must succeed at a Fortitude save (DC = 10 + half your character level + your Wisdom modifier + 2 for every 5 feet you drag or reposition your opponent). On a failed save, your opponent becomes disorientated from the movement and takes a –2 penalty on attack rolls, combat maneuver checks, and Dexterity-based skill checks until the end of its next turn.					https://aonprd.com/FeatDisplay.aspx?ItemName=Crashing%20Wave%20Buffet
Crashing Wave Fist	Combat	Ultimate Wilderness pg. 109	In addition to simply moving it, you are able to strike your enemy while pushing it around.	Wis 15, Crashing Wave Buffet, Crashing Wave Style, Improved Drag, Improved Reposition, Improved Unarmed Strike, base attack bonus +9.	When dragging or repositioning an opponent, at any point during the movement, you can make one unarmed attack against the opponent using your highest attack bonus. You can make one additional attack for every 5 feet you drag or reposition the opponent beyond the first 5 feet. You take a cumulative –5 penalty on each additional attack made in this way.					https://aonprd.com/FeatDisplay.aspx?ItemName=Crashing%20Wave%20Fist
Crashing Wave Style	Combat, Style	Ultimate Wilderness pg. 109	You relentlessly push your enemies around, as the sea moves those within and upon it against their will.	Wis 13, Improved Drag, Improved Reposition, Improved Unarmed Strike.	When you successfully drag or reposition an opponent while using this style, at any point during the dragging or repositioning of the opponent, you can move 5 feet as an immediate action, including moving into a square previously occupied by the opponent, even if you have already taken a move action this round. This movement does not provoke attacks of opportunity.					https://aonprd.com/FeatDisplay.aspx?ItemName=Crashing%20Wave%20Style
