name	slot	descriptors	effect	bind_effect	is_retold	source	url
Forgebreaker Hammer	Wrists, Shoulders	Dao, Enhanced				Whispers of Immortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Forgemaster's Hammers	Hands	Enhanced	Create two light hammers that can sunder at range, deal damage to creatures you sunder.	Gain make whole as an SLA.		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Format: Corruptor	Blood	Enhanced, Evil				Species Archive - Datum	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Format: Framework	Ring	Enhanced, Transmutation				Species Archive - Datum	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Format: Purifier	Interface	Abjuration, Enhanced				Species Archive - Datum	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Format: The Chaos	Storm	Chaotic				Species Archive - Datum	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
Fractured Pocket Watch	Neck	Healing, Time				Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Guru_Veil_List
Fragrant Princess' Aroma	Body	Aroma, Poison				Species Archive: Flowerfolk & Fey	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Frame of the Clockwork Artillerist	Shoulders	Enhanced, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Frankenstein's Head Mirror	Head	Necromancy	Gain bonuses to Heal and Knowledge (engineering).	Create constructs as per the Craft Poppet feat.		Akashic Tales: Hallow Icons	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Frigid Grasp	Wrists	Cold, Steady	Deal additional ice damage with attacks of opportunity.	Entangle foes with AoOs.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Frigid Tiara	Headband	Cold, Variant				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Frostbite Halo	Headband	Cold	Halo amplifies cold damage.	Suppress morale & insight bonuses with cold damage.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Huay_Veil_List
Frostbite Halo (Retold)	Headband	Cold, Mind-affecting			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Huay_Veil_List
Frostbite Halo (Stormbound: Renewed Focus)	Headband	Cold, Mind-affecting				Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Huay_Veil_List
Frostweave	Chest, Body	Cold	Increase the power of spells and abilities which deal cold damage.	Chest: Use control weather.<br>Body: Use control weather or polar midnight.		The Fisherking	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Fungal Panacea	Shoulders		Grow mushrooms which function as polypurpose panacea.	Grow more mushrooms, which grant more and greater effects.		Studio M— September 2021 Compilation	https://metzo.miraheze.org/wiki/Huay_Veil_List
Fury of the Earth Queen	Wrists	Enhanced	Create an earth breaker that can shatter the ground into difficult terrain.	Shatter the ground in place of an attack, shattered ground is larger and more deadly.		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Fury of the Earth Queen (Retold)	Wrists	Earth, Enhanced			yes	Akasha Retold — Expanded Core	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Galactic Mentality	Head		Change creature abilities when you fail to identify them.	Identify creatures as a swift action, change more abilities when you fail.		April Tools Day	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Galvanic Bracers	Wrists	Electricity				Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Garden Warden's Gorget	Neck	Good, Fire	Fiery veil burns up ranged projectiles and weapons, protecting you from harm.	Gain swift breath weapon.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Garden Warden's Gorget (Retold)	Neck	Fire, Good			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gargoyle Vambraces	Wrists	Earth, Divination	Your unarmed strikes deal more damage to evil creatures, know if an object is evil.	Conjure a gargoyle statue that radiates an effect similar to magic circle against evil.		Akashic Tales: Hallow Icons	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gauntlets of the Elderstorm	Hands	Air, Cold, Electricity	Gain a slam attack that deals elemental damage.	Gain additional elemental slam.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
Gauntlets of the Void	Hands, Wrists	Cold				City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gauntlets of the Void (Enhanced)	Hands, Wrists	Cold, Enhanced	Gain cold resistance and a pair of spiked gauntlets.	Hands: Wield 2h-weapons one-handed.<br>Wrists: Gain Hands bind, enhance with chilling essence.		Studio M— February 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gauntlets of the Void (Retold)	Hands, Wrists	Darkness, Cold, Enhanced			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gelugon's Talons	Feet	Cold	Gain a chilling aura that penalizes creatures that enter it.	Gain claw attacks & icewalking.		City of Seven Seraphs	https://metzo.miraheze.org/wiki/Daevic_Veil_List
General's Beacon	Interface		Know location of allies	Know location of foes & alter current selection		Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Geomancer's Shawl	Head, Shoulders	Earth				Races of Obscura - El'in and Mosslings	https://metzo.miraheze.org/wiki/Guru_Veil_List
Geomancer's Shawl (Akasha Retold)	Head, Shoulders	Earth			yes	Akasha Retold — Expanded Core	https://metzo.miraheze.org/wiki/Guru_Veil_List
Geri and Freki	Body		Gain a bonus on Handle Animal, summon a wolf companion.	Summon additional wolf, wolf aspects, or command wolves.		Akashic Realms Volume 1: Emperors & Einherjar	https://metzo.miraheze.org/wiki/Guru_Veil_List
Ghost's Shroud	Shoulders		Gain bonuses to Escape Artist and Stealth.	Become incorporeal to avoid attacks or pass through objects.		Akashic Tales: Hallow Icons	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Gilded Treads	Feet	Good, Law	Your path becomes difficult terrain for chaotic and evil creatures.	Project spell resistance against evil & chaos to allies, exclude chaotic & evil subtypes.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Gills of the Deep One	Neck	Evil, Poison	Gain a swim speed and the ability to speak with aquatic creatures.	Exhale a cloud of poisonous smoke or ink.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Guru_Veil_List
Gills of the Deep One (Akasha Retold)	Neck	Darkness, Evil, Poison, Water			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Glabrezu's Gaze	Headband	Divination, Fear	See invisible and ethereal creatures and gain bonuses to Knowledge (arcana) and Spellcraft checks.	Strengthen fear, bleeding, fatigue & visual impairment.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Huay_Veil_List
Glitten of Glistening Glyphs	Hands, Wrists					Hopes and Feasts - Recipe for Success	https://metzo.miraheze.org/wiki/Guru_Veil_List
Glove of the Master Duelist	Hands, Wrists	Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gloves of Deflection	Hands	Enhanced, Force				The Scribe's Archive	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gloves of Repulsion	Hands, Wrists	Force	Deal force damage and bull rush a touched creature	Hands: Bull rush larger creatures, damage creatures when a bull rushed creature bumps them.<br>Wrists: Gain Hands bind, launch objects.		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Gloves of Repulsion (Retold)	Hands, Wrists	Force			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Gloves of Warding	Hands, Wrists	Fire, Force				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Gloves of the Master Thief	Hands		Gain bonuses to Sleight of Hand and Disable Device checks.	Disarm magical traps.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Gloves of the Master Thief (Retold)	Hands				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Gloves of the Trickster	Hands	Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Goldhoard Vestments	Head, Wrists, Shoulders, Chest	Curse	Transform items into gold, invest gold into this veil to gain bonuses to saving throws and AC.	Head: Sense nearby valuable objects, invest gold to gain bonuses to ability scores.<br>Shoulders: Dazzle creatures to protect yourself from flanking, invest gold to gain bonuses to your ability scores.<br>Wrists: Replace your attacks with touch attacks which deal akashic damage, invest gold to gain a bonus to attack and damage.<br>Chest: Gain Head, Wrists, and Shoulders binds. Treat invested gold as 1.25x greater when determining the effects of this veil.		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Goldhoard Vestments (Akasha Retold)	Head, Wrists, Shoulders, Chest				yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gorget of Unfettered Fear	Neck	Fear, Variant	Gain an aura that removes fear immunity, demoralize nearby foes as a full-round action.	Double range of aura, demoralize nearby foes as a standard action.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gorget of the Stormking	Neck	Air, Cold, Electricity, Polymorph	Gain a lesser form of the resistances of an elemental creature.	Take on elemental form.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gorget of the Wyrm	Neck, Shoulders	Acid, Cold, Electricity, Fire	Gain a draconic breath weapon.	Neck: Increase breath weapon damage & grant energy resistance to allies.<br>Shoulders: Gain draconic wings to fly.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gorget of the Wyrm (Akasha Retold)	Shoulders, Neck	Acid, Cold, Electricity, Fire			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gory Armaments (veil)	Blood, Wrists	Enhanced, Variant	Use your blood to create a weapon you can wield.	Blood: Grants Wrist bind plus no longer need to injure yourself to create weapons.<br>Wrists: Drain your foes blood with your gory weapon, sacrifice your own health to bolster your allies.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gourd of Wisdom	Belt		Reroll a failed Int-based skill check with a bonus.	Make a concoction that grants a bonus to Int- and Wis-based skill checks.		Akashic Tales: Spider's Stories	https://metzo.miraheze.org/wiki/Guru_Veil_List
Grace of the Goddess	Hands		Cure allies of maladies.	Reduce greater conditions to weaker ones, cure ability damage.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gracedrinker	Hands, Wrists, Belt	Chaos, Curse, Dao, Enhanced, Evil				Whispers of Immortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Grafter's Rotting Gloves	Hands, Wrists	Death				Akashic Horrors — Domains of the Dead	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Grannie's Bonnet	Head, Headband	Glamer, Mind-affecting	Gain a bonus to Disguise, foil magic that detects disguises.	Head: Impersonating specific creatures allows you to treat those who know them as less familiar.<br>Headband: Gain Head bind, consume helpless creatures and take on their appearance.		Akashic Tales: Red's Peril	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Grasp of Undeath	Wrists	Death	Gain a touch attack that damages and nauseates living creatures and causes undead to flee.	Your touch now paralyzes living creatures.		Studio M— February 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Grasp of the Dead	Wrists	Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Grasping Black	Shoulders	Darkness	Gain bonuses on disarm and grapple attempts.	Increase reach for grappling or disarming.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Grasping Black (Retold)	Hands, Shoulders	Darkness			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Grasping Chains	Feet	Brand	Branded creature becomes bound to its current location, taking damage if it wanders too far	Branded creature treats the area outside its range as difficult terrain, and the damage increases.		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Guru_Veil_List
Graven Wrappings	Shoulders, Belt	Glamer				Akashic Horrors — Grisly Fates	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gravity Crushing Gauntlets	Hands, Wrists	Enhanced, Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gravsling	Hands, Head	Enhanced	Conjure a sling that deals exponentially more damage to larger creatures.	Hands: Attack foes with shooting stars that deal higher damage.<br>Head: Hands benefits, stars now explode.		April Tools Day	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Greaves of Skirmishing	Feet		Gain bonuses similar to the Dodge feat.	Take an action in the middle of your movement.		Studio M— July 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Greaves of Skirmishing (Akasha Retold)	Feet				yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Greaves of the Spectral Knight	Feet	Death				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Greaves of the Unified Assault	Feet	Variant	Form a bond with an ally, you and that ally can move to aid each other.	Form a bond with multiple allies at once, all can move to each others aid.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gris-Gris	Belt, Neck, Wrists	Abjuration, Curse				Akashic Tales: Servants of the Loa	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Guanyin's Golden Burden	Headband	Brand, Compulsion, Curse, Dao, Law				Whispers of Immortality	https://metzo.miraheze.org/wiki/Guru_Veil_List
Guardian Sash	Belt		Gain bonus to AC vs critical threats.	Block incapacitating strikes.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Guru_Veil_List
Guardian Sash (Retold)	Belt				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Guru_Veil_List
Guardian's Shell	Chest, Feet	Electricity, Enhanced, Fire				Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Guardian’s Shelter	Hands, Wrists	Enhanced, Good	Create a heavy shield that can deflect attacks on allies.	Hands: Gain additional AoOs to deflect with, deflect effects that require a Reflex save<br>Wrists: Gain Hands bind, protect nearby allies by granting DR/evil and deflecting attacks against them		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gungnir	Wrists					Akashic Realms Volume 1: Emperors & Einherjar	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gungnir (Enhanced)	Wrists	Enhanced	Create a longspear that can be thrown and returns to your hand afterwards.	Gain shield bonus.		Studio M— February 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Gunman's Spectral Duster	Shoulders	Enhanced				Expanded Akasha: Combatants and Corruption	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Hag's Shawl	Shoulders, Body		Gain a witch hex.	Shoulders: Gain an additional hex, plus the coven hex.<br>Body: Gain Shoulders bind, gain an additional hex, count as a hag for covens.		Studio M— April 2021 Compilation	https://metzo.miraheze.org/wiki/Huay_Veil_List
Hag's Shawl (Akasha Retold)	Shoulders, Body				yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Huay_Veil_List
Halberd of the Soaring Dragoon	Wrists	Air, Enhanced, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
